,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
137,Joe Worrall,eng ENG,DF,27-118,4.9,7.0,5,6.0,1.0,0.0,5.0,4.0,1.0,3,10.0,32.0,1.0
138,Scott McKenna,sct SCO,DF,27-177,4.6,4.0,0,3.0,1.0,0.0,6.0,4.0,2.0,5,9.0,27.0,0.0
139,Felipe,br BRA,DF,34-357,4.2,12.0,9,9.0,3.0,0.0,4.0,1.0,3.0,4,16.0,12.0,0.0
140,Alfie Doughty,eng ENG,DF,24-138,30.5,60.0,38,28.0,17.0,15.0,44.0,7.0,37.0,29,89.0,37.0,3.0
141,Teden Mengi,eng ENG,DF,22-007,26.3,50.0,19,31.0,18.0,1.0,39.0,27.0,12.0,55,105.0,136.0,0.0
142,Issa Kaboré,bf BFA,DF,22-361,19.2,52.0,28,23.0,21.0,8.0,22.0,11.0,11.0,16,68.0,56.0,2.0
143,Amari'i Bell,jm JAM,DF,30-002,19.1,50.0,33,30.0,19.0,1.0,33.0,15.0,18.0,25,75.0,60.0,1.0
144,Gabriel Osho,ng NGA,DF,25-267,18.5,36.0,19,19.0,16.0,1.0,35.0,19.0,16.0,31,67.0,84.0,0.0
145,Reece Burke,eng ENG,DF,27-248,17.5,34.0,21,16.0,12.0,6.0,24.0,18.0,6.0,17,51.0,74.0,1.0
146,Tom Lockyer,wls WAL,DF,29-156,13.0,25.0,16,17.0,6.0,2.0,23.0,13.0,10.0,23,48.0,68.0,0.0
147,Daiki Hashioka,jp JPN,DF,24-356,5.6,11.0,5,6.0,4.0,1.0,10.0,6.0,4.0,8,19.0,19.0,0.0
148,Mads Juel Andersen,dk DEN,DF,26-132,4.4,6.0,5,4.0,2.0,0.0,9.0,6.0,3.0,8,14.0,29.0,0.0
149,Joseph Johnson,eng ENG,DF,18-076,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
150,Dara O'Shea,ie IRL,DF,25-064,30.1,33.0,16,18.0,12.0,3.0,39.0,29.0,10.0,32,65.0,151.0,2.0
151,Charlie Taylor,eng ENG,DF,30-232,24.1,34.0,19,19.0,13.0,2.0,25.0,10.0,15.0,18,52.0,77.0,0.0
152,Jordan Beyer,de GER,DF,23-354,13.7,35.0,20,22.0,12.0,1.0,22.0,15.0,7.0,16,51.0,68.0,1.0
153,Maxime Estève,fr FRA,DF,21-347,12.5,23.0,8,12.0,11.0,0.0,20.0,9.0,11.0,22,45.0,50.0,0.0
154,Lorenz Assignon,tg TOG,DF,23-320,12.2,31.0,15,17.0,10.0,4.0,21.0,7.0,14.0,16,47.0,37.0,1.0
155,Ameen Al-Dakhil,be BEL,DF,22-062,11.7,12.0,5,4.0,7.0,1.0,13.0,6.0,7.0,12,24.0,38.0,2.0
156,Connor Roberts,wls WAL,DF,28-227,9.1,12.0,5,6.0,4.0,2.0,8.0,6.0,2.0,4,16.0,25.0,2.0
157,Hannes Delcroix,be BEL,DF,25-069,6.5,10.0,6,6.0,4.0,0.0,9.0,3.0,6.0,9,19.0,26.0,0.0
158,Hjalmar Ekdal,se SWE,DF,25-199,4.9,4.0,2,2.0,2.0,0.0,10.0,5.0,5.0,6,10.0,21.0,0.0
159,Jayden Bogle,eng ENG,DF,23-285,29.0,64.0,35,42.0,20.0,2.0,42.0,11.0,31.0,31,95.0,88.0,0.0
160,Jack Robinson,eng ENG,DF,30-249,30.1,39.0,25,27.0,12.0,0.0,47.0,31.0,16.0,31,70.0,130.0,2.0
161,Anel Ahmedhodžić,ba BIH,DF,25-042,28.4,61.0,36,45.0,14.0,2.0,41.0,25.0,16.0,34,95.0,133.0,2.0
162,Auston Trusty,us USA,DF,25-269,26.6,44.0,28,28.0,13.0,3.0,39.0,21.0,18.0,32,76.0,138.0,3.0
163,George Baldock,gr GRE,DF,31-059,10.8,18.0,10,10.0,7.0,1.0,14.0,8.0,6.0,10,28.0,33.0,0.0
164,Luke Thomas,eng ENG,DF,22-332,10.2,20.0,9,13.0,6.0,1.0,23.0,5.0,18.0,10,30.0,27.0,0.0
165,Mason Holgate,eng ENG,DF,27-198,7.6,11.0,7,5.0,5.0,1.0,11.0,4.0,7.0,10,21.0,39.0,0.0
166,John Egan,ie IRL,DF,31-200,5.4,6.0,4,4.0,2.0,0.0,10.0,4.0,6.0,13,19.0,39.0,1.0
167,Yasser Larouci,dz ALG,DF,23-127,5.3,16.0,8,9.0,5.0,2.0,6.0,1.0,5.0,7,23.0,20.0,1.0
168,Rhys Norrington-Davies,wls WAL,DF,25-015,1.2,1.0,1,1.0,0.0,0.0,2.0,0.0,2.0,1,2.0,2.0,0.0
